date,year,tournament,stage,home_team,away_team,home_goals,away_goals,result,extra_time,penalty_shootout
1930-07-13,1930,1930 FIFA World Cup,group stage,France,Mexico,4,1,H,0,0
1930-07-13,1930,1930 FIFA World Cup,group stage,United States,Belgium,3,0,H,0,0
1930-07-14,1930,1930 FIFA World Cup,group stage,Yugoslavia,Brazil,2,1,H,0,0
1930-07-14,1930,1930 FIFA World Cup,group stage,Romania,Peru,3,1,H,0,0
1930-07-15,1930,1930 FIFA World Cup,group stage,Argentina,France,1,0,H,0,0
1930-07-16,1930,1930 FIFA World Cup,group stage,Chile,Mexico,3,0,H,0,0
1930-07-17,1930,1930 FIFA World Cup,group stage,Yugoslavia,Bolivia,4,0,H,0,0
1930-07-17,1930,1930 FIFA World Cup,group stage,United States,Paraguay,3,0,H,0,0
1930-07-18,1930,1930 FIFA World Cup,group stage,Uruguay,Peru,1,0,H,0,0
1930-07-19,1930,1930 FIFA World Cup,group stage,Chile,France,1,0,H,0,0
1930-07-19,1930,1930 FIFA World Cup,group stage,Argentina,Mexico,6,3,H,0,0
1930-07-20,1930,1930 FIFA World Cup,group stage,Brazil,Bolivia,4,0,H,0,0
1930-07-20,1930,1930 FIFA World Cup,group stage,Paraguay,Belgium,1,0,H,0,0
1930-07-21,1930,1930 FIFA World Cup,group stage,Uruguay,Romania,4,0,H,0,0
1930-07-22,1930,1930 FIFA World Cup,group stage,Argentina,Chile,3,1,H,0,0
1930-07-26,1930,1930 FIFA World Cup,semi-finals,Argentina,United States,6,1,H,0,0
1930-07-27,1930,1930 FIFA World Cup,semi-finals,Uruguay,Yugoslavia,6,1,H,0,0
1930-07-30,1930,1930 FIFA World Cup,final,Uruguay,Argentina,4,2,H,0,0
1934-05-27,1934,1934 FIFA World Cup,round of 16,Austria,France,3,2,H,1,0
1934-05-27,1934,1934 FIFA World Cup,round of 16,Czechoslovakia,Romania,2,1,H,0,0
1934-05-27,1934,1934 FIFA World Cup,round of 16,Germany,Belgium,5,2,H,0,0
1934-05-27,1934,1934 FIFA World Cup,round of 16,Hungary,Egypt,4,2,H,0,0
1934-05-27,1934,1934 FIFA World Cup,round of 16,Italy,United States,7,1,H,0,0
1934-05-27,1934,1934 FIFA World Cup,round of 16,Spain,Brazil,3,1,H,0,0
1934-05-27,1934,1934 FIFA World Cup,round of 16,Sweden,Argentina,3,2,H,0,0
1934-05-27,1934,1934 FIFA World Cup,round of 16,Switzerland,Netherlands,3,2,H,0,0
1934-05-31,1934,1934 FIFA World Cup,quarter-finals,Austria,Hungary,2,1,H,0,0
1934-05-31,1934,1934 FIFA World Cup,quarter-finals,Czechoslovakia,Switzerland,3,2,H,0,0
1934-05-31,1934,1934 FIFA World Cup,quarter-finals,Germany,Sweden,2,1,H,0,0
1934-05-31,1934,1934 FIFA World Cup,quarter-finals,Italy,Spain,1,1,D,1,0
1934-06-01,1934,1934 FIFA World Cup,quarter-finals,Italy,Spain,1,0,H,0,0
1934-06-03,1934,1934 FIFA World Cup,semi-finals,Czechoslovakia,Germany,3,1,H,0,0
1934-06-03,1934,1934 FIFA World Cup,semi-finals,Italy,Austria,1,0,H,0,0
1934-06-07,1934,1934 FIFA World Cup,third-place match,Germany,Austria,3,2,H,0,0
1934-06-10,1934,1934 FIFA World Cup,final,Italy,Czechoslovakia,2,1,H,1,0
1938-06-04,1938,1938 FIFA World Cup,round of 16,Switzerland,Germany,1,1,D,1,0
1938-06-05,1938,1938 FIFA World Cup,round of 16,Cuba,Romania,3,3,D,1,0
1938-06-05,1938,1938 FIFA World Cup,round of 16,France,Belgium,3,1,H,0,0
1938-06-05,1938,1938 FIFA World Cup,round of 16,Hungary,Dutch East Indies,6,0,H,0,0
1938-06-05,1938,1938 FIFA World Cup,round of 16,Italy,Norway,2,1,H,1,0
1938-06-05,1938,1938 FIFA World Cup,round of 16,Brazil,Poland,6,5,H,1,0
1938-06-05,1938,1938 FIFA World Cup,round of 16,Czechoslovakia,Netherlands,3,0,H,1,0
1938-06-09,1938,1938 FIFA World Cup,round of 16,Cuba,Romania,2,1,H,0,0
1938-06-09,1938,1938 FIFA World Cup,round of 16,Switzerland,Germany,4,2,H,0,0
1938-06-12,1938,1938 FIFA World Cup,quarter-finals,Sweden,Cuba,8,0,H,0,0
1938-06-12,1938,1938 FIFA World Cup,quarter-finals,Italy,France,3,1,H,0,0
1938-06-12,1938,1938 FIFA World Cup,quarter-finals,Hungary,Switzerland,2,0,H,0,0
1938-06-12,1938,1938 FIFA World Cup,quarter-finals,Brazil,Czechoslovakia,1,1,D,1,0
1938-06-14,1938,1938 FIFA World Cup,quarter-finals,Brazil,Czechoslovakia,2,1,H,0,0
1938-06-16,1938,1938 FIFA World Cup,semi-finals,Hungary,Sweden,5,1,H,0,0
1938-06-16,1938,1938 FIFA World Cup,semi-finals,Italy,Brazil,2,1,H,0,0
1938-06-19,1938,1938 FIFA World Cup,third-place match,Brazil,Sweden,4,2,H,0,0
1938-06-19,1938,1938 FIFA World Cup,final,Italy,Hungary,4,2,H,0,0
1950-06-24,1950,1950 FIFA World Cup,group stage,Brazil,Mexico,4,0,H,0,0
1950-06-25,1950,1950 FIFA World Cup,group stage,Yugoslavia,Switzerland,3,0,H,0,0
1950-06-25,1950,1950 FIFA World Cup,group stage,England,Chile,2,0,H,0,0
1950-06-25,1950,1950 FIFA World Cup,group stage,Spain,United States,3,1,H,0,0
1950-06-25,1950,1950 FIFA World Cup,group stage,Sweden,Italy,3,2,H,0,0
1950-06-28,1950,1950 FIFA World Cup,group stage,Brazil,Switzerland,2,2,D,0,0
1950-06-28,1950,1950 FIFA World Cup,group stage,Yugoslavia,Mexico,4,1,H,0,0
1950-06-29,1950,1950 FIFA World Cup,group stage,Sweden,Paraguay,2,2,D,0,0
1950-06-29,1950,1950 FIFA World Cup,group stage,Spain,Chile,2,0,H,0,0
1950-06-29,1950,1950 FIFA World Cup,group stage,United States,England,1,0,H,0,0
1950-07-01,1950,1950 FIFA World Cup,group stage,Brazil,Yugoslavia,2,0,H,0,0
1950-07-02,1950,1950 FIFA World Cup,group stage,Chile,United States,5,2,H,0,0
1950-07-02,1950,1950 FIFA World Cup,group stage,Spain,England,1,0,H,0,0
